date measurement;celsius;humidity;moisture
2020-09-08_12:58:04;26.8;60.3;721
2020-09-08_13:18:04;26.5;53.9;710
2020-09-08_13:38:05;26.7;58.6;717
2020-09-08_13:58:05;26.7;49.3;720
2020-09-08_14:18:05;26.8;59.5;682
2020-09-08_14:38:05;26.8;58.4;680
2020-09-08_14:58:06;27.1;50.1;692
2020-09-08_15:18:06;26.8;55.6;670
2020-09-08_15:38:06;26.4;54.1;714
2020-09-08_15:58:06;27.1;50.2;677
2020-09-08_16:18:06;26.9;50.2;717
2020-09-08_16:38:07;26.8;40.9;677
2020-09-08_16:58:07;26.8;46.1;706
2020-09-08_17:18:07;26.4;38.2;667
2020-09-08_17:38:07;26.1;50.8;700
2020-09-08_17:58:07;25.8;46.9;715
2020-09-08_18:18:07;25.5;60.1;720
2020-09-08_18:38:08;25.5;57.6;709
2020-09-08_18:58:08;25.2;60.7;669
2020-09-08_19:18:08;25.6;61.8;688
2020-09-08_19:38:08;25.5;66.5;672
2020-09-08_19:58:08;25.5;60.4;666
2020-09-08_20:18:09;25.0;69.4;689
2020-09-08_20:38:09;25.1;60.7;683
2020-09-08_20:58:09;25.7;62.4;666
2020-09-08_21:18:09;26.0;65.2;694
2020-09-08_21:38:09;25.9;66.3;707
2020-09-08_21:58:10;26.1;62.2;713
2020-09-08_22:18:10;26.4;63.7;676
2020-09-08_22:38:10;26.3;60.7;675
2020-09-08_22:58:10;25.9;66;690
2020-09-08_23:18:10;26.2;65.9;712
2020-09-08_23:38:11;25.9;59.5;718
2020-09-08_23:58:11;27.1;65.3;721
2020-09-09_00:18:11;26.7;67.5;715
2020-09-09_00:38:11;26.7;67.8;673
2020-09-09_00:58:11;26.1;65.2;697
2020-09-09_01:18:12;27.3;62.9;714
2020-09-09_01:38:12;27.0;57;719
2020-09-09_01:58:12;26.6;56.4;683
2020-09-09_02:18:12;26.4;58.9;676
2020-09-09_02:38:12;26.4;62.2;685
2020-09-09_02:58:13;26.3;61.3;711
2020-09-09_03:18:13;26.4;60.8;714
2020-09-09_03:38:13;26.2;53.7;677
2020-09-09_03:58:13;26.5;52.8;671
2020-09-09_04:18:13;26.3;62.2;715
2020-09-09_04:38:14;26.3;49.3;718
2020-09-09_04:58:14;26.3;58;721
2020-09-09_05:18:14;26.3;67.9;678
2020-09-09_05:38:14;26.2;53.7;675
2020-09-09_05:58:14;26.2;69.3;717
2020-09-09_06:18:15;26.5;67.5;681
2020-09-09_06:38:15;26.3;58.5;692
2020-09-09_06:58:15;26.3;61.6;675
2020-09-09_07:18:15;26.4;52.8;679
2020-09-09_07:38:15;26.1;41.7;673
2020-09-09_07:58:16;26.1;48.4;695
2020-09-09_08:18:16;25.8;46.1;671
2020-09-09_08:38:16;25.8;54.8;682
2020-09-09_08:58:16;26.2;56.4;717
2020-09-09_09:18:16;26.3;51;674
2020-09-09_09:38:17;26.7;52.6;663
2020-09-09_09:58:17;26.0;55.4;667
2020-09-09_10:18:17;26.7;46.1;701
2020-09-09_10:38:17;26.8;60.3;667
2020-09-09_10:58:17;25.7;66.5;721
2020-09-09_11:18:18;26.7;68.4;679
2020-09-09_11:38:18;26.5;67.9;711
2020-09-09_11:58:18;26.1;65;703
2020-09-09_12:18:18;26.0;69.7;720
2020-09-09_12:38:18;26.2;67.9;706
2020-09-09_12:58:19;25.8;58.8;706
2020-09-09_13:18:19;26.2;67.4;719
2020-09-09_13:38:19;26.5;61.5;667
2020-09-09_13:58:19;26.8;58.4;718
2020-09-09_14:18:19;27.6;57.1;677
2020-09-09_14:38:20;27.3;50.3;670
2020-09-09_14:58:20;27.4;54.1;718
2020-09-09_15:18:20;26.9;47.7;667
2020-09-09_15:38:20;27.7;52.1;710
2020-09-09_15:58:20;27.4;55;709
2020-09-09_16:18:21;26.4;53.6;691
2020-09-09_16:38:21;27.4;55;718
2020-09-09_16:58:21;26.7;46.1;665
2020-09-09_17:18:21;26.8;45.9;694
2020-09-09_17:38:21;26.7;53.4;703
2020-09-09_17:58:22;27.1;52.6;712
2020-09-09_18:18:22;27.2;51.4;674
2020-09-09_18:38:22;27.0;54.6;671
2020-09-09_18:58:22;27.2;46.8;722
2020-09-09_19:18:22;26.5;57;676
2020-09-09_19:38:23;26.7;56.9;705
2020-09-09_19:58:23;25.8;52.5;677
2020-09-09_20:18:23;26.4;52.3;715
2020-09-09_20:38:23;26.0;52.2;677
2020-09-09_20:58:23;25.9;64.5;676
2020-09-09_21:18:24;26.0;52.4;701
2020-09-09_21:38:24;26.6;55.7;707
2020-09-09_21:58:24;26.2;51.3;714
2020-09-09_22:18:24;26.1;57.1;678
2020-09-09_22:38:24;26.7;58.6;686
2020-09-09_22:58:25;26.9;54.5;710
2020-09-09_23:18:25;27.0;52.1;680
2020-09-09_23:38:25;26.9;47.3;719
2020-09-09_23:58:25;27.4;57.3;707
2020-09-10_00:18:25;27.8;53.8;720
2020-09-10_00:38:26;28.1;54.5;713
2020-09-10_00:58:26;28.2;49.5;719
2020-09-10_01:18:26;26.9;47.5;638
2020-09-10_01:38:26;27.2;58;679
2020-09-10_01:58:26;27.3;53.9;672
2020-09-10_02:18:27;27.4;69.1;688
2020-09-10_02:38:27;27.0;43.6;716
2020-09-10_02:58:27;26.9;53.9;671
2020-09-10_03:18:27;28.5;55.2;676
2020-09-10_03:38:27;26.7;53;714
2020-09-10_03:58:28;27.2;46.9;717
2020-09-10_04:18:28;27.5;60.3;687
2020-09-10_04:38:28;27.4;70.7;720
2020-09-10_04:58:28;26.8;59.5;668
2020-09-10_05:18:28;26.4;54.6;676
2020-09-10_05:38:29;27.0;47;686
2020-09-10_05:58:29;27.1;43.5;703
2020-09-10_06:18:29;26.9;45.2;718
2020-09-10_06:38:29;26.5;49.9;695
2020-09-10_06:58:29;26.1;47.8;682
2020-09-10_07:18:30;27.1;48.1;671
2020-09-10_07:38:30;27.0;44.9;720
2020-09-10_07:58:30;26.6;41;723
2020-09-10_08:18:30;26.7;42.5;709
2020-09-10_08:38:30;25.8;48.6;675
2020-09-10_08:58:31;26.6;59.7;672
2020-09-10_09:18:31;26.8;56.1;662
2020-09-10_09:38:31;26.7;53.2;678
2020-09-10_09:58:31;26.9;45.7;718
2020-09-10_10:18:31;27.0;45.3;675
2020-09-10_10:38:32;27.0;51.8;721
2020-09-10_10:58:32;26.9;48.9;712
2020-09-10_11:18:32;26.8;51.4;677
2020-09-10_11:38:32;26.8;53.1;716
2020-09-10_11:58:32;26.8;53.4;713
2020-09-10_12:18:33;27.1;52;676
2020-09-10_12:38:33;25.1;42.1;716
2020-09-10_12:58:33;25.1;43;676
2020-09-10_13:18:33;25.3;47.3;719
2020-09-10_13:38:33;26.4;46.5;710
2020-09-10_13:58:34;26.6;48.6;704
2020-09-10_14:18:34;26.3;44;687
2020-09-10_14:38:34;27.0;54.4;681
2020-09-10_14:58:34;27.1;43.3;716
2020-09-10_15:18:34;27.5;45.7;669
2020-09-10_15:38:35;27.2;41;709
2020-09-10_15:58:35;26.9;34.2;711
2020-09-10_16:18:35;27.5;41.5;674
2020-09-10_16:38:35;27.1;43.5;712
2020-09-10_16:58:35;26.8;45.6;678
2020-09-10_17:18:35;27.8;55.6;718
2020-09-10_17:38:36;27.1;57.5;671
2020-09-10_17:58:36;27.4;48.8;706
2020-09-10_18:18:36;27.6;52.4;676
2020-09-10_18:38:36;27.7;62.6;706
2020-09-10_18:58:36;27.6;56.3;669
2020-09-10_19:18:37;27.5;51.9;690
2020-09-10_19:38:37;26.8;54.8;720
2020-09-10_19:58:37;27.4;48.8;708
2020-09-10_20:18:37;27.6;61;723
2020-09-10_20:38:37;26.5;51.4;674
2020-09-10_20:58:38;27.7;56.4;681
2020-09-10_21:18:38;27.2;57;675
2020-09-10_21:38:38;27.4;55.3;703
2020-09-10_21:58:38;27.2;52.8;700
2020-09-10_22:18:38;27.0;55.9;722
2020-09-10_22:38:39;26.8;56.4;672
2020-09-10_22:58:39;26.8;65.7;718
2020-09-10_23:18:39;26.9;59.5;712
2020-09-10_23:38:39;27.2;57.6;677
2020-09-10_23:58:39;26.6;56.3;714
2020-09-11_00:18:40;26.9;50.6;713
2020-09-11_00:38:40;26.7;53;717
2020-09-11_00:58:40;26.6;54.1;708
2020-09-11_01:18:40;26.4;55.3;698
2020-09-11_01:38:40;26.4;56.6;686
2020-09-11_01:58:41;26.2;54.3;678
2020-09-11_02:18:41;26.2;51.9;678
2020-09-11_02:38:41;26.0;61.8;712
2020-09-11_02:58:41;26.4;63.4;712
2020-09-11_03:18:41;26.2;54.1;669
2020-09-11_03:38:42;25.9;50.2;709
2020-09-11_03:58:42;26.2;58.6;714
2020-09-11_04:18:42;25.8;44.4;675
2020-09-11_04:38:42;26.3;58.9;676
2020-09-11_04:58:42;25.8;65.6;717
2020-09-11_05:18:43;26.1;56.9;677
2020-09-11_05:38:43;25.9;60.3;716
2020-09-11_05:58:43;25.9;57.8;697
2020-09-11_06:18:43;25.8;59.2;676
2020-09-11_06:38:43;25.8;54;676
2020-09-11_06:58:44;26.2;52.2;678
2020-09-11_07:18:44;25.6;61.7;714
2020-09-11_07:38:44;25.9;53.6;694
2020-09-11_07:58:44;25.8;62.5;669
2020-09-11_08:18:44;25.8;59;709
2020-09-11_08:38:45;25.9;61.9;669
2020-09-11_08:58:45;25.8;55.1;710
2020-09-11_09:18:45;25.7;57.3;688
2020-09-11_09:38:45;25.6;59.8;672
2020-09-11_09:58:45;26.9;57.6;684
2020-09-11_10:18:46;26.0;45.3;692
2020-09-11_10:38:46;25.8;41;710
2020-09-11_10:58:46;25.7;48.1;712
2020-09-11_11:18:46;26.0;45.2;699
2020-09-11_11:38:46;25.9;39;683
2020-09-11_11:58:47;25.5;41.9;710
2020-09-11_12:18:47;24.9;34.6;685
2020-09-11_12:38:47;24.9;34;715
2020-09-11_12:58:47;25.3;33.8;670
2020-09-11_13:18:47;25.2;37.4;682
2020-09-11_13:38:47;25.2;36.4;685
2020-09-11_13:58:48;25.5;39;705
2020-09-11_14:18:48;25.8;44;680
2020-09-11_14:38:48;25.8;54.3;681
2020-09-11_14:58:48;26.1;49.3;682
2020-09-11_15:18:48;26.4;43.6;713
2020-09-11_15:38:49;26.5;49;675
2020-09-11_15:58:49;26.6;50.3;709
2020-09-11_16:18:49;27.1;43.3;680
2020-09-11_16:38:49;27.0;38.4;717
2020-09-11_16:58:49;27.5;38.2;678
2020-09-11_17:18:50;27.9;40.5;686
2020-09-11_17:38:50;27.8;47.4;678
2020-09-11_17:58:50;27.8;43.1;676
2020-09-11_18:18:50;27.9;47.2;714
2020-09-11_18:38:50;28.4;48.3;681
2020-09-11_18:58:51;27.6;49.9;686
2020-09-11_19:18:51;26.8;38.7;710
2020-09-11_19:38:51;24.2;50.4;692
2020-09-11_19:58:51;23.7;49.3;704
2020-09-11_20:18:51;24.0;47.7;705
2020-09-11_20:38:52;23.1;43.6;663
2020-09-11_20:58:52;25.0;54.2;706
2020-09-11_21:18:52;25.8;51.5;698
2020-09-11_21:38:52;26.1;50.6;713
2020-09-11_21:58:52;26.0;49;711
2020-09-11_22:18:53;26.4;43.9;675
2020-09-11_22:38:53;26.3;45.1;679
2020-09-11_22:58:53;26.6;47;708
2020-09-11_23:18:53;26.8;47.2;710
2020-09-11_23:38:53;26.8;48.7;679
2020-09-11_23:58:53;26.8;46.6;682
2020-09-12_00:18:54;26.9;46.3;714
2020-09-12_00:38:54;26.7;39;706
2020-09-12_00:58:54;26.9;51.1;712
2020-09-12_01:18:54;26.8;55.3;708
2020-09-12_01:38:55;26.6;55.1;704
2020-09-12_01:58:55;26.9;52.8;682
2020-09-12_02:18:55;26.9;44.8;682
2020-09-12_02:38:55;27.0;51.8;672
2020-09-12_02:58:55;26.8;42.4;689
2020-09-12_03:18:56;26.6;53.4;711
2020-09-12_03:38:56;26.9;54.1;690
2020-09-12_03:58:56;26.9;41.9;704
2020-09-12_04:18:56;26.8;44;708
2020-09-12_04:38:56;26.5;51.3;708
2020-09-12_04:58:56;27.1;42;685
2020-09-12_05:18:57;26.9;51.7;692
2020-09-12_05:38:57;26.9;51.3;705
2020-09-12_05:58:57;26.5;50.5;702
2020-09-12_06:18:57;26.9;42.1;711
2020-09-12_06:38:57;26.6;49.5;706
2020-09-12_06:58:58;26.5;48.7;693
2020-09-12_07:18:58;26.3;44;684
2020-09-12_07:38:58;26.6;40;699
2020-09-12_07:58:58;26.7;40.7;684
2020-09-12_08:18:58;26.6;39.6;683
2020-09-12_08:38:59;26.6;38.5;674
2020-09-12_08:58:59;26.7;42.9;683
2020-09-12_09:18:59;26.5;42.9;680
2020-09-12_09:38:59;26.6;45.3;708
2020-09-12_09:58:59;25.1;47.3;675
2020-09-12_10:19:00;24.7;47.6;713
2020-09-12_10:39:00;25.8;43.6;698
2020-09-12_10:59:00;26.1;54.9;707
2020-09-12_11:19:00;26.1;47.8;704
2020-09-12_11:39:00;26.6;47.8;710
2020-09-12_11:59:01;26.7;42.7;681
2020-09-12_12:19:01;26.7;53.8;711
2020-09-12_12:39:01;26.8;62.3;699
2020-09-12_12:59:01;26.6;49.1;684
2020-09-12_13:19:01;26.7;47.5;678
2020-09-12_13:39:02;26.8;48.2;702
2020-09-12_13:59:02;26.6;46.4;710
2020-09-12_14:19:02;27.3;52.8;710
2020-09-12_14:39:02;27.3;62.5;715
2020-09-12_14:59:02;25.4;58.4;709
2020-09-12_15:19:03;27.3;43;716
2020-09-12_15:39:03;27.6;46.6;680
2020-09-12_15:59:03;27.7;43.6;700
2020-09-12_16:19:03;28.0;35.3;692
2020-09-12_16:39:03;28.4;38.9;680
2020-09-12_16:59:04;29.3;36.7;686
2020-09-12_17:19:04;28.4;37.8;684
2020-09-12_17:39:04;28.4;35.3;719
2020-09-12_17:59:04;27.9;43.9;706
2020-09-12_18:19:04;28.5;45.4;683
2020-09-12_18:39:05;28.5;51.4;695
2020-09-12_18:59:05;28.4;40.3;695
2020-09-12_19:19:05;27.4;44.6;713
2020-09-12_19:39:05;27.3;49.4;713
2020-09-12_19:59:05;28.2;51;711
2020-09-12_20:19:06;28.0;59.7;706
2020-09-12_20:39:06;29.9;64;717
2020-09-12_20:59:06;28.8;40.1;716
2020-09-12_21:19:06;27.9;45.4;676
2020-09-12_21:39:06;27.8;55.6;704
2020-09-12_21:59:07;28.0;42.5;716
2020-09-12_22:19:07;28.1;49.9;715
2020-09-12_22:39:07;28.2;47.1;694
2020-09-12_22:59:07;26.8;48.3;694
2020-09-12_23:19:07;25.8;47.8;687
2020-09-12_23:39:08;25.4;50.9;700
2020-09-12_23:59:08;25.5;47.1;689
2020-09-13_00:19:08;24.7;64.5;692
2020-09-13_00:39:08;25.1;39.9;695
2020-09-13_00:59:08;25.5;63;695
2020-09-13_01:19:08;27.2;46.1;704
2020-09-13_01:39:09;26.5;46.6;705
2020-09-13_01:59:09;26.8;41.2;654
2020-09-13_02:19:09;27.0;51.2;692
2020-09-13_02:39:09;26.7;53.2;702
2020-09-13_02:59:09;27.2;53.4;687
2020-09-13_03:19:10;27.4;47.1;706
2020-09-13_03:39:10;27.2;46.3;675
2020-09-13_03:59:10;27.0;53.5;682
2020-09-13_04:19:10;27.8;54.8;690
2020-09-13_04:39:10;28.3;51.5;682
2020-09-13_04:59:11;27.2;54.7;690
2020-09-13_05:19:11;27.1;42.7;699
2020-09-13_05:39:11;28.1;51.1;688
2020-09-13_05:59:11;27.1;59.4;696
2020-09-13_06:19:11;27.5;55.2;697
2020-09-13_06:39:12;27.3;53.6;707
2020-09-13_06:59:12;27.5;60.7;695
2020-09-13_07:19:12;27.1;65.8;706
2020-09-13_07:39:12;27.0;59.4;686
2020-09-13_07:59:12;26.9;59.8;681
2020-09-13_08:19:13;26.6;57.1;688
2020-09-13_08:39:13;27.2;55.9;699
2020-09-13_08:59:13;28.6;46.6;695
