date measurement;celsius;humidity;moisture
2020-08-30_19:29:38;23.7;75.6;678
2020-08-30_19:59:39;23.4;77.6;641
2020-08-30_20:29:39;22.6;79.8;697
2020-08-30_20:59:39;23.1;73.6;641
2020-08-30_21:29:40;23.7;77.1;662
2020-08-30_21:59:40;24.2;75.4;717
2020-08-30_22:29:40;24.6;73.2;712
2020-08-30_22:59:40;24.9;73.3;710
2020-08-30_23:29:41;24.8;71.8;753
2020-08-30_23:59:41;24.6;70.8;739
2020-08-31_00:29:41;24.6;70;745
2020-08-31_00:59:42;24.6;71.1;712
2020-08-31_01:29:42;24.7;71.4;753
2020-08-31_01:59:42;24.4;72.4;705
2020-08-31_02:29:42;23.9;73.4;715
2020-08-31_02:59:43;24.3;69.1;742
2020-08-31_03:29:43;24.3;75.3;740
2020-08-31_03:59:43;25.1;61.8;752
2020-08-31_04:29:44;24.5;70.4;678
2020-08-31_04:59:44;24.4;72.3;734
2020-08-31_05:29:44;24.0;66.6;680
2020-08-31_05:59:45;24.3;72.1;711
2020-08-31_06:29:45;24.3;70.9;718
2020-08-31_06:59:45;24.2;73.6;717
2020-08-31_07:29:45;24.5;64.2;738
2020-08-31_07:59:46;24.1;71.3;714
2020-08-31_08:29:46;24.5;71.8;683
2020-08-31_08:59:46;24.7;72.5;749
2020-08-31_09:29:47;24.1;72.6;747
2020-08-31_09:59:47;24.5;74.1;733
2020-08-31_10:29:47;24.5;67.2;755
2020-08-31_10:59:47;24.9;73.6;713
2020-08-31_11:29:48;24.8;69.3;750
2020-08-31_11:59:48;24.8;71.7;722
2020-08-31_12:29:48;24.6;64.4;749
2020-08-31_12:59:49;24.9;66.3;723
2020-08-31_13:29:49;24.6;70;726
2020-08-31_13:59:49;24.7;71.5;762
2020-08-31_14:29:49;24.6;75;754
2020-08-31_14:59:50;25.7;70.5;734
2020-08-31_15:29:50;24.9;73.7;723
2020-08-31_15:59:50;25.4;46.5;743
2020-08-31_16:29:51;25.3;39.8;728
2020-08-31_16:59:51;24.8;73.6;725
2020-08-31_17:29:51;25.5;64;767
2020-08-31_17:59:52;25.8;73;724
2020-08-31_18:29:52;25.4;57.7;728
2020-08-31_18:59:52;25.6;70.7;748
2020-08-31_19:29:52;24.8;52;763
2020-08-31_19:59:53;24.7;70.1;737
2020-08-31_20:29:53;24.9;73.8;768
2020-08-31_20:59:53;24.9;42.4;727
2020-08-31_21:29:54;25.1;50.2;736
2020-08-31_21:59:54;24.9;69;754
2020-08-31_22:29:54;25.3;58.4;768
2020-08-31_22:59:54;25.3;64.7;774
2020-08-31_23:29:55;25.1;68.6;761
2020-08-31_23:59:55;25.4;70.8;760
2020-09-01_00:29:55;25.1;71.8;727
2020-09-01_00:59:56;24.5;72.3;771
2020-09-01_01:29:56;24.5;67.9;730
2020-09-01_01:59:56;24.5;59.9;761
2020-09-01_02:29:56;24.6;50.1;759
2020-09-01_02:59:57;24.3;45.1;740
2020-09-01_03:29:57;24.2;47.4;757
2020-09-01_03:59:57;24.3;51.5;776
2020-09-01_04:29:58;24.3;49.4;751
2020-09-01_04:59:58;24.4;49.2;763
2020-09-01_05:29:58;24.0;47.4;775
2020-09-01_05:59:59;24.1;51.6;739
2020-09-01_06:29:59;24.0;43.2;760
2020-09-01_06:59:59;23.2;72.3;767
2020-09-01_07:29:59;23.9;72.6;780
2020-09-01_08:00:00;23.7;73;784
2020-09-01_08:30:00;24.3;38.3;775
2020-09-01_09:00:00;24.5;39.8;785
2020-09-01_09:30:01;24.4;57.2;773
2020-09-01_10:00:01;24.5;54.4;747
2020-09-01_10:30:01;24.3;60.4;774
2020-09-01_11:00:01;24.5;72.9;758
2020-09-01_11:30:02;25.0;70.8;782
2020-09-01_12:00:02;24.4;70.1;751
2020-09-01_12:30:02;24.8;72.8;761
