date;temperature;humidity;moisture
2020-08-30_18:59:38;23.7;95.5;649
2020-08-30_19:29:38;23.7;95.6;678
2020-08-30_19:59:39;23.4;97.6;641
2020-08-30_20:29:39;22.6;99.8;697
2020-08-30_20:59:39;23.1;93.6;641
2020-08-30_21:29:40;23.7;97.1;662
2020-08-30_21:59:40;24.2;95.4;717
2020-08-30_22:29:40;24.6;93.2;712
2020-08-30_22:59:40;24.9;93.3;710
2020-08-30_23:29:41;24.8;91.8;753
2020-08-30_23:59:41;24.6;90.8;739
2020-08-31_00:29:41;24.6;90.0;745
2020-08-31_00:59:42;24.6;91.1;712
2020-08-31_01:29:42;24.7;91.4;753
2020-08-31_01:59:42;24.4;92.4;705
2020-08-31_02:29:42;23.9;93.4;715
2020-08-31_02:59:43;24.3;89.1;742
2020-08-31_03:29:43;24.3;95.3;740
2020-08-31_03:59:43;25.1;81.8;752
2020-08-31_04:29:44;24.5;90.4;678
2020-08-31_04:59:44;24.4;92.3;734
2020-08-31_05:29:44;24.0;86.6;680
2020-08-31_05:59:45;24.3;92.1;711
2020-08-31_06:29:45;24.3;90.9;718
2020-08-31_06:59:45;24.2;93.6;717
2020-08-31_07:29:45;24.5;84.2;738
2020-08-31_07:59:46;24.1;91.3;714
2020-08-31_08:29:46;24.5;91.8;683
2020-08-31_08:59:46;24.7;92.5;749
2020-08-31_09:29:47;24.1;92.6;747
2020-08-31_09:59:47;24.5;94.1;733
2020-08-31_10:29:47;24.5;87.2;755
2020-08-31_10:59:47;24.9;93.6;713
2020-08-31_11:29:48;24.8;89.3;750
2020-08-31_11:59:48;24.8;91.7;722
2020-08-31_12:29:48;24.6;84.4;749
2020-08-31_12:59:49;24.9;86.3;723
2020-08-31_13:29:49;24.6;90.0;726
2020-08-31_13:59:49;24.7;91.5;762
2020-08-31_14:29:49;24.6;95.0;754
2020-08-31_14:59:50;25.7;90.5;734
2020-08-31_15:29:50;24.9;93.7;723
2020-08-31_15:59:50;25.4;66.5;743
2020-08-31_16:29:51;25.3;59.8;728
2020-08-31_16:59:51;24.8;93.6;725
2020-08-31_17:29:51;25.5;84.0;767
2020-08-31_17:59:52;25.8;93.0;724
2020-08-31_18:29:52;25.4;77.7;728
2020-08-31_18:59:52;25.6;90.7;748
2020-08-31_19:29:52;24.8;72.0;763
2020-08-31_19:59:53;24.7;90.1;737
2020-08-31_20:29:53;24.9;93.8;768
2020-08-31_20:59:53;24.9;62.4;727
2020-08-31_21:29:54;25.1;70.2;736
2020-08-31_21:59:54;24.9;89.0;754
2020-08-31_22:29:54;25.3;78.4;768
2020-08-31_22:59:54;25.3;84.7;774
2020-08-31_23:29:55;25.1;88.6;761
2020-08-31_23:59:55;25.4;90.8;760
2020-09-01_00:29:55;25.1;91.8;727
2020-09-01_00:59:56;24.5;92.3;771
2020-09-01_01:29:56;24.5;87.9;730
2020-09-01_01:59:56;24.5;79.9;761
2020-09-01_02:29:56;24.6;70.1;759
2020-09-01_02:59:57;24.3;65.1;740
2020-09-01_03:29:57;24.2;67.4;757
2020-09-01_03:59:57;24.3;71.5;776
2020-09-01_04:29:58;24.3;69.4;751
2020-09-01_04:59:58;24.4;69.2;763
2020-09-01_05:29:58;24.0;67.4;775
2020-09-01_05:59:59;24.1;71.6;739
2020-09-01_06:29:59;24.0;63.2;760
2020-09-01_06:59:59;23.2;92.3;767
2020-09-01_07:29:59;23.9;92.6;780
2020-09-01_08:00:00;23.7;93.0;784
2020-09-01_08:30:00;24.3;58.3;775
2020-09-01_09:00:00;24.5;59.8;785
2020-09-01_09:30:01;24.4;77.2;773
2020-09-01_10:00:01;24.5;74.4;747
2020-09-01_10:30:01;24.3;80.4;774
2020-09-01_11:00:01;24.5;92.9;758
2020-09-01_11:30:02;25.0;90.8;782
2020-09-01_12:00:02;24.4;90.1;751
2020-09-01_12:30:02;24.8;92.8;761
2020-09-01_13:00:03;24.7;90.4;789
2020-09-01_13:30:03;24.6;90.9;780
2020-09-01_14:00:03;24.8;92.4;763
2020-09-01_14:30:03;25.0;91.8;750
2020-09-01_15:00:04;24.6;90.2;755
2020-09-01_15:30:04;25.2;88.4;755
2020-09-01_16:00:04;25.1;83.1;789
2020-09-01_16:30:05;25.0;82.1;755
2020-09-01_17:00:05;25.0;82.0;794
2020-09-01_17:30:05;24.7;86.8;771
2020-09-01_18:00:06;25.2;90.4;787
2020-09-01_18:30:06;23.5;72.2;777
2020-09-01_19:00:06;23.8;82.4;770
2020-09-01_19:30:06;24.6;81.6;807
2020-09-01_20:00:07;24.8;91.0;772
2020-09-01_20:30:07;25.0;86.8;809
2020-09-01_21:00:07;25.0;90.2;776
2020-09-01_21:30:08;24.8;89.7;773
2020-09-01_22:00:08;25.1;90.0;766
2020-09-01_22:30:08;25.8;87.2;769
2020-09-01_23:00:08;25.6;81.0;796
2020-09-01_23:30:09;25.6;89.0;776
2020-09-02_00:00:09;24.8;86.9;796
2020-09-02_00:30:09;25.1;90.1;805
2020-09-02_01:00:10;24.8;89.9;747
2020-09-02_01:30:10;24.8;92.3;780
2020-09-02_02:00:10;24.5;90.9;818
2020-09-02_02:30:10;24.8;90.0;821
2020-09-02_03:00:11;24.7;87.3;827
2020-09-02_03:30:11;24.9;90.0;789
2020-09-02_04:00:11;24.7;88.2;823
2020-09-02_04:30:12;24.6;89.3;821
2020-09-02_05:00:12;24.7;88.5;815
2020-09-02_05:30:12;25.2;89.9;830
2020-09-02_06:00:13;24.7;89.0;792
2020-09-02_06:30:13;24.4;90.6;784
2020-09-02_07:00:13;24.2;85.5;793
2020-09-02_07:30:13;24.5;86.2;795
2020-09-02_08:00:14;24.5;78.5;833
2020-09-02_08:30:14;24.3;78.8;790
2020-09-02_09:00:14;24.7;73.7;824
2020-09-02_09:30:15;24.8;76.1;850
2020-09-02_10:00:15;24.8;73.3;818
2020-09-02_10:30:15;24.7;77.6;847
2020-09-02_11:00:16;25.0;73.9;846
2020-09-02_11:30:16;24.8;85.9;856
